img_name,split
P01_01_4068,train
P03_03_508,train
P03_02_232,train
P01_01_2298,train
P04_01_86,train
P03_02_857,train
P04_01_970,train
P05_05_917,train
P03_02_1163,train
P01_01_1835,train
P03_01_881,train
P01_01_1289,train
P02_02_1421,train
P05_05_263,train
P04_05_1724,train
P02_03_1878,train
P04_01_1579,train
P03_03_252,train
P02_03_2070,train
P04_01_696,train
P02_02_2736,train
P03_02_2037,train
P01_01_252,train
P05_05_309,train
P02_05_1830,train
P03_01_2184,train
P04_05_638,train
P03_02_489,train
P03_02_155,train
P01_01_1894,train
P04_05_732,train
P01_02_371,train
P03_01_1199,train
P02_06_3431,train
P05_01_869,train
P03_02_2268,train
P03_01_373,train
P01_01_1304,train
P03_02_1251,train
P03_03_899,train
P02_02_1455,train
P05_02_418,train
P03_01_1710,train
P03_02_1508,train
P03_03_913,train
P04_05_288,train
P02_02_2603,train
P04_01_1360,train
P03_02_782,train
P03_03_240,train
P03_02_494,train
P05_05_88,train
P01_01_1748,train
P05_02_179,train
P01_02_1831,train
P03_02_1996,train
P05_03_1243,train
P01_02_2284,train
P05_02_244,train
P03_01_2102,train
P03_01_1907,train
P02_05_2332,train
P03_01_1990,train
P05_01_687,train
P01_01_959,train
P01_01_2355,train
P04_03_199,train
P03_03_1240,train
P05_02_1511,train
P03_03_1824,train
P02_02_238,train
P02_03_2175,train
P05_01_876,train
P02_06_3350,train
P04_01_2559,train
P02_02_185,train
P05_05_360,train
P01_02_2702,train
P01_01_4064,train
P02_06_1010,train
P05_01_434,train
P02_05_2145,train
P01_01_3780,train
P02_07_182,train
P04_01_2446,train
P01_01_931,train
P05_05_374,train
P01_01_1424,train
P04_05_1883,train
P02_05_800,train
P03_02_1120,train
P05_03_58,train
P02_05_2788,train
P01_01_2309,train
P01_01_1259,train
P02_02_1400,train
P05_02_370,train
P03_03_1761,train
P01_01_1566,train
P04_05_1753,train
P02_06_1321,train
P03_01_442,train
P04_05_2241,train
P03_01_1127,train
P04_03_762,train
P02_06_3078,train
P02_05_962,train
P01_01_2926,train
P02_03_2490,train
P01_01_2775,train
P04_01_658,train
P02_02_958,train
P02_05_557,train
P03_03_1023,train
P03_02_2124,train
P03_01_959,train
P03_01_218,train
P03_01_2114,train
P04_05_816,train
P05_05_410,train
P03_03_1536,train
P04_01_1074,train
P04_01_2172,train
P01_01_1224,train
P02_02_274,train
P02_05_1643,train
P03_02_2399,train
P04_01_1305,train
P04_01_191,train
P03_03_798,train
P03_02_971,train
P03_03_2013,train
P01_01_3170,train
P02_03_1046,train
P01_02_564,train
P01_01_305,train
P05_02_304,train
P02_05_2427,train
P03_02_1170,train
P04_03_560,train
P03_01_2128,train
P05_01_1092,train
P03_02_1995,train
P05_05_575,train
P02_06_2559,train
P05_02_294,train
P01_02_325,train
P05_01_1471,train
P03_03_701,train
P05_03_120,train
P05_05_926,train
P02_07_253,train
P02_05_1043,train
P05_03_761,train
P05_02_1477,train
P05_02_190,train
P02_03_1254,train
P03_01_105,train
P03_01_1924,train
P02_03_1883,train
P03_02_1879,train
P02_03_2497,train
P04_01_1110,train
P02_06_1690,train
P04_05_2117,train
P02_05_1472,train
P05_03_467,train
P04_01_614,train
P05_01_83,train
P05_05_749,train
P04_05_831,train
P05_03_99,train
P04_05_1866,train
P03_02_1269,train
P05_03_1179,train
P02_06_1018,train
P03_02_142,train
P02_06_1023,train
P01_01_1410,train
P02_06_2663,train
P03_01_681,train
P05_05_515,train
P05_05_939,train
P01_01_63,train
P05_01_1032,train
P05_02_607,train
P02_05_1212,train
P01_02_1174,train
P03_02_461,train
P03_03_1807,train
P01_02_2583,train
P03_03_698,train
P05_03_110,train
P05_02_279,train
P04_03_250,train
P04_03_943,train
P02_02_325,train
P03_02_1059,train
P05_01_1367,train
P05_03_748,train
P03_01_2518,train
P02_03_2680,train
P02_03_657,train
P03_01_2581,train
P02_02_1668,train
P03_02_830,train
P02_05_1495,train
P03_01_242,train
P04_05_1910,train
P03_02_1679,train
P02_05_1158,train
P03_02_1237,train
P01_02_3056,train
P01_01_2021,train
P04_01_99,train
P05_02_247,train
P04_01_867,train
P02_03_759,train
P03_02_878,train
P04_01_2011,train
P02_02_1546,train
P02_05_1177,train
P03_03_118,train
P01_02_150,train
P02_06_1850,train
P02_05_1311,train
P03_03_2197,train
P04_03_849,train
P05_01_1181,train
P01_02_772,train
P04_01_1394,train
P03_01_1802,train
P03_01_1809,train
P05_01_1387,train
P02_05_653,train
P03_01_2263,train
P05_05_843,train
P03_01_2095,train
P02_02_2450,train
P02_05_854,train
P02_03_2434,train
P02_03_2437,train
P02_06_2885,train
P03_01_1166,train
P02_06_504,train
P04_03_464,train
P04_03_84,train
P02_03_2055,train
P02_03_1173,train
P02_06_3737,train
P02_06_1577,train
P02_05_1485,train
P05_03_102,train
P03_03_1901,train
P04_05_1405,train
P02_03_585,train
P01_01_3282,train
P02_05_1944,train
P03_03_2203,train
P03_02_2150,train
P04_05_2269,train
P03_01_1108,train
P03_01_135,train
P04_01_1748,train
P01_02_286,train
P03_03_1067,train
P01_01_3355,train
P05_03_1213,train
P02_05_2590,train
P01_01_4054,train
P03_01_912,train
P03_02_2129,train
P02_03_1908,train
P01_02_2605,train
P02_06_432,train
P04_01_330,train
P02_02_1914,train
P01_01_1789,train
P05_02_936,train
P02_07_568,train
P01_01_1132,train
P04_01_2217,train
P05_01_193,train
P04_01_2563,train
P04_01_760,train
P04_05_733,train
P03_02_1309,train
P03_01_142,train
P02_05_947,train
P02_02_1788,train
P05_05_11,train
P03_01_2126,train
P03_01_2351,train
P04_01_78,train
P01_02_21,train
P01_02_1864,train
P04_01_780,train
P01_02_569,train
P03_03_872,train
P05_02_299,train
P04_05_1603,train
P05_01_1217,train
P03_02_609,train
P03_01_2566,train
P02_02_2642,train
P01_02_3099,train
P05_02_726,train
P02_05_345,train
P02_05_346,train
P03_01_1404,train
P04_05_1829,train
P04_01_2447,train
P05_05_1159,train
P04_01_1729,train
P02_02_3073,train
P05_05_998,train
P03_02_631,train
P01_02_1464,train
P01_02_2766,train
P05_03_1153,train
P01_01_1434,train
P02_05_967,train
P02_07_168,train
P01_02_1351,train
P04_01_1846,train
P02_02_2955,train
P04_01_924,train
P01_02_272,train
P03_02_1111,train
P01_02_1124,train
P04_03_643,train
P03_03_1063,train
P05_03_1315,train
P04_05_485,train
P05_01_1322,train
P04_03_611,train
P03_01_2187,train
P05_01_1193,train
P02_02_1118,train
P02_03_2413,train
P01_01_3218,train
P01_01_813,train
P02_05_1431,train
P03_03_685,train
P04_05_2168,train
P04_05_1425,train
P04_01_157,train
P02_06_3653,train
P05_01_1317,train
P04_01_1852,train
P02_02_610,train
P05_01_3,train
P03_03_1891,train
P02_02_2050,train
P03_03_1178,train
P01_01_3514,train
P04_05_1053,train
P01_02_2359,train
P04_05_2137,train
P02_05_2237,train
P02_05_2685,train
P02_05_1661,train
P03_02_527,train
P05_02_334,train
P02_05_427,train
P03_02_2347,train
P02_03_870,train
P01_02_1168,train
P03_01_778,train
P03_03_1142,train
P02_02_398,train
P04_01_59,train
P01_01_2621,train
P01_01_2658,train
P02_05_2069,train
P04_05_1890,train
P04_01_188,train
P02_02_588,train
P03_01_634,train
P01_02_526,train
P01_01_975,train
P03_02_894,train
P02_05_1336,train
P03_01_190,train
P05_01_366,train
P02_03_1483,train
P02_05_2654,train
P03_03_151,train
P01_02_2958,train
P05_05_107,train
P05_03_391,train
P01_01_1355,train
P05_01_1043,train
P04_01_1158,train
P03_02_2486,train
P03_01_2288,train
P03_03_2184,train
P02_03_2893,train
P03_02_858,train
P04_01_2384,train
P03_03_1593,train
P05_03_487,train
P03_02_573,train
P05_03_850,train
P02_06_1298,train
P01_01_1403,train
P02_02_158,train
P02_03_2928,train
P02_05_2107,train
P03_02_285,train
P01_02_1283,train
P03_01_2343,train
P02_05_2585,train
P02_05_1396,train
P04_01_2505,train
P02_06_3138,train
P03_01_1386,train
P03_03_1716,train
P01_01_1671,train
P04_01_13,train
P02_02_729,train
P02_02_3018,train
P01_01_1436,train
P02_06_1099,train
P02_07_735,train
P05_02_74,train
P02_02_1667,train
P02_05_1271,train
P04_03_359,train
P05_02_627,train
P03_03_2142,train
P02_02_2752,train
P04_03_182,train
P02_02_2719,train
P01_02_1880,train
P03_01_629,train
P03_02_736,train
P01_01_1832,train
P01_02_2340,train
P05_03_677,train
P02_03_967,train
P03_01_2383,train
P04_05_1104,train
P05_02_599,train
P05_01_1230,train
P03_01_1803,train
P05_02_492,train
P02_03_1489,train
P05_02_796,train
P02_03_1221,train
P05_01_1127,train
P04_05_1295,train
P01_01_2711,train
P01_01_3896,train
P03_02_332,train
P01_01_2069,train
P03_02_128,train
P03_01_2555,train
P03_02_2478,train
P02_02_2605,train
P01_01_868,train
P01_01_1504,train
P02_05_1383,train
P04_03_456,train
P03_03_1435,train
P02_02_557,train
P04_01_984,train
P02_03_2824,train
P01_02_1987,train
P02_06_2972,train
P02_03_1005,train
P01_01_1415,train
P05_05_325,train
P03_01_49,train
P02_07_379,train
P05_03_583,train
P01_02_2237,train
P01_01_1313,train
P04_01_1221,train
P03_02_2166,train
P02_03_576,train
P04_01_1048,train
P03_01_2197,train
P01_02_1347,train
P02_06_1813,train
P03_02_1638,train
P03_01_443,train
P03_03_123,train
P05_03_991,train
P03_03_2065,train
P01_02_2995,train
P02_03_2417,train
P03_01_682,train
P04_01_49,train
P02_06_3319,train
P02_05_1820,train
P02_06_1626,train
P05_03_1201,train
P05_01_487,train
P01_01_4133,train
P05_03_1120,train
P01_02_2910,train
P01_02_2616,train
P04_01_1508,train
P02_05_1078,train
P04_01_814,train
P03_03_1396,train
P04_05_2454,train
P01_02_1733,train
P02_06_1606,train
P01_01_1924,train
P01_01_1432,train
P05_02_566,train
P03_02_1369,train
P01_01_224,train
P02_07_949,train
P01_01_3050,train
P04_05_509,train
P01_02_2737,train
P05_05_238,train
P04_03_539,train
P03_01_44,train
P02_06_2761,train
P01_01_993,train
P01_02_1624,train
P01_01_1977,train
P01_02_2537,train
P04_05_500,train
P01_01_818,train
P03_03_743,train
P03_01_2240,train
P05_05_322,train
P02_06_3308,train
P01_02_2176,train
P02_06_1698,train
P04_01_2699,train
P05_03_879,train
P02_02_2790,train
P03_02_565,train
P04_05_1256,train
P03_03_719,train
P02_03_471,train
P03_03_2340,train
P02_05_2017,train
P03_02_905,train
P01_02_2919,train
P02_05_592,train
P02_06_2284,train
P03_03_2062,train
P05_01_626,train
P03_01_628,train
P03_02_497,train
P01_02_944,train
P01_02_2057,train
P02_06_3019,train
P01_01_4089,train
P05_03_416,train
P01_01_1544,train
P03_01_167,train
P04_01_2807,train
P02_02_373,train
P05_02_1574,train
P04_05_490,train
P04_05_433,train
P05_02_646,train
P02_05_665,train
P03_02_1672,train
P01_01_3814,train
P02_02_779,train
P04_05_898,train
P02_06_2020,train
P04_03_715,train
P05_03_519,train
P05_02_922,train
P01_01_2506,train
P02_06_2689,train
P02_05_2225,train
P04_03_734,train
P01_01_3508,train
P01_01_3353,train
P05_03_182,train
P04_05_979,train
P05_03_453,train
P02_02_1096,train
P01_01_782,train
P04_01_1733,train
P03_01_974,train
P02_02_2577,train
P03_02_1688,train
P01_02_645,train
P02_02_2424,train
P04_03_967,train
P03_02_1860,train
P05_02_1206,train
P03_03_2031,train
P03_01_2509,train
P05_02_1573,train
P04_05_669,train
P04_01_1362,train
P02_02_3183,train
P04_05_359,train
P04_05_2450,train
P04_05_1306,train
P02_05_2080,train
P02_03_1015,train
P05_03_571,train
P02_02_200,train
P01_01_2835,train
P02_07_622,train
P02_03_1226,train
P05_03_65,train
P02_02_1379,train
P02_06_1241,train
P04_01_28,train
P03_03_510,train
P04_01_1786,train
P03_02_607,train
P02_02_1575,train
P04_03_719,train
P04_01_308,train
P04_05_1114,train
P05_02_951,train
P01_01_3751,train
P02_06_2055,train
P02_02_614,train
P05_03_232,train
P01_02_2109,train
P03_02_619,train
P01_01_1453,train
P05_02_1400,train
P01_01_1766,train
P03_01_90,train
P01_01_2920,train
P05_05_552,train
P01_02_334,train
P04_03_445,train
P05_02_826,train
P05_05_540,train
P02_05_2362,train
P02_06_2763,train
P02_06_1089,train
P03_01_2606,train
P05_03_255,train
P05_02_289,train
P03_03_1857,train
P01_02_1187,train
P02_03_2914,train
P01_01_636,train
P04_05_1398,train
P03_01_1573,train
P04_03_879,train
P03_01_2180,train
P05_03_568,train
P04_01_1871,train
P05_01_902,train
P04_05_2141,train
P02_06_2991,train
P01_01_1156,train
P02_05_2368,train
P02_06_981,train
P04_05_483,train
P03_01_729,train
P04_05_1703,train
P04_05_912,train
P01_02_344,train
P03_02_252,train
P02_06_2651,train
P03_01_2165,train
P02_03_488,train
P04_03_106,train
P05_02_670,train
P03_03_2348,train
P02_06_942,train
P01_01_3368,train
P05_05_870,train
P02_02_1936,train
P03_02_2343,train
P01_01_599,train
P03_03_1795,train
P02_02_3060,train
P04_05_2274,train
P03_01_531,train
P05_03_797,train
P01_01_3132,train
P04_03_380,train
P02_06_3235,train
P02_06_2640,train
P05_02_1264,train
P05_02_1281,train
P02_03_1924,train
P02_02_1232,train
P03_02_85,train
P01_01_2709,train
P02_02_2977,train
P03_01_315,train
P05_05_930,train
P02_05_938,train
P04_05_2145,train
P02_05_903,train
P02_06_1963,train
P05_02_984,train
P05_02_714,train
P03_01_1034,train
P03_03_1898,train
P02_02_258,train
P01_02_611,train
P02_06_397,train
P01_02_2706,train
P04_05_1849,train
P01_01_2874,train
P01_01_2416,train
P04_05_1449,train
P05_03_1253,train
P04_05_1418,train
P04_03_937,train
P03_03_1910,train
P04_05_2083,train
P04_01_1782,train
P02_03_1753,train
P03_01_2483,train
P04_05_1867,train
P02_05_1374,train
P02_05_2604,train
P04_01_2450,train
P05_02_125,train
P02_06_2777,train
P01_01_702,train
P05_03_1114,train
P04_01_359,train
P05_01_1144,train
P02_02_2082,train
P02_06_2512,train
P01_02_1952,train
P04_05_39,train
P02_02_660,train
P05_05_711,train
P05_01_5,train
P02_03_1003,train
P01_02_1688,train
P02_06_2519,train
P01_02_1254,train
P02_06_3363,train
P01_02_1216,train
P04_03_537,train
P04_05_883,train
P02_06_1802,train
P05_01_734,train
P01_01_3089,train
P03_01_281,train
P02_05_789,train
P01_01_2806,train
P02_03_2019,train
P01_01_2973,train
P05_03_689,train
P01_01_163,train
P05_01_782,train
P01_02_131,train
P02_05_2581,train
P03_01_1900,train
P03_03_1644,train
P02_07_307,train
P03_01_1585,train
P04_01_1992,train
P01_01_2676,train
P01_02_618,train
P05_05_159,train
P05_02_581,train
P02_02_3122,train
P05_03_409,train
P04_01_987,train
P01_02_1963,train
P03_03_1236,train
P04_05_1742,train
P02_03_1131,train
P02_06_1008,train
P03_01_9,train
P03_03_1677,train
P02_03_1957,train
P03_02_1490,train
P01_01_2501,train
P03_02_2209,train
P03_03_53,train
P01_01_854,train
P03_02_1351,train
P05_02_32,train
P02_05_552,train
P01_01_3321,train
P03_03_1330,train
P03_01_1406,train
P02_05_2723,train
P01_02_1959,train
P05_03_208,train
P02_05_2419,train
P02_02_2785,train
P04_01_505,train
P02_07_554,train
P03_01_2397,train
P02_02_2998,train
P01_01_3614,train
P03_01_1379,train
P01_01_2814,train
P05_02_293,train
P02_06_3139,train
P03_01_554,train
P05_01_237,train
P05_01_454,train
P02_05_2739,train
P03_01_1517,train
P01_01_370,train
P03_02_1411,train
P02_06_637,train
P05_03_627,train
P04_01_2731,train
P03_02_1208,train
P04_01_635,train
P02_03_2244,train
P05_02_1408,train
P03_03_253,train
P01_02_802,train
P04_05_463,train
P03_02_1634,train
P02_06_1893,train
P05_02_6,train
P01_02_1065,train
P04_03_69,train
P02_05_2110,train
P01_01_2307,train
P01_01_3444,train
P02_02_1361,train
P05_02_477,train
P03_02_1826,train
P02_05_2257,train
P03_03_679,train
P05_03_266,train
P01_01_4154,train
P02_05_2230,train
P05_05_400,train
P05_02_1076,train
P05_01_198,train
P01_01_1949,train
P02_02_946,train
P02_05_1314,train
P02_02_1943,train
P01_01_1765,train
P02_06_2625,train
P04_05_1521,train
P04_01_903,train
P05_05_1099,train
P01_01_2247,train
P01_02_23,train
P01_02_2999,train
P02_02_756,train
P01_02_725,train
P04_03_116,train
P02_06_2276,train
P04_01_1926,train
P02_06_3047,train
P05_05_823,train
P05_01_742,train
P03_01_68,train
P05_05_670,train
P03_02_2444,train
P04_05_2335,train
P02_02_574,train
P03_03_1565,train
P01_02_1225,train
P05_02_1083,train
P04_01_1832,train
P01_01_3195,train
P04_05_2459,train
P01_01_2906,train
P02_05_441,train
P05_03_183,train
P05_01_1249,train
P05_02_1106,train
P04_05_1399,train
P04_01_2246,train
P01_02_2916,train
P05_02_525,train
P04_03_580,train
P03_02_1920,train
P03_03_2277,train
P03_03_155,train
P05_03_923,train
P01_02_1642,train
P01_01_1940,train
P02_05_1591,train
P04_01_2010,train
P03_02_2383,train
P02_02_1346,train
P02_02_431,train
P03_02_1741,train
P03_02_116,train
P03_02_1232,train
P03_02_1166,train
P05_03_673,train
P05_01_1454,train
P05_05_1030,train
P02_06_3042,train
P02_05_1055,train
P01_01_507,train
P01_01_3730,train
P05_03_13,train
P05_02_413,train
P04_01_868,train
P01_01_1604,train
P05_02_1247,train
P02_06_3146,train
P05_01_771,train
P01_02_2378,train
P01_01_3238,train
P03_01_1347,train
P03_02_2147,train
P01_01_3543,train
P03_03_1029,train
P02_02_3087,train
P05_02_1546,train
P01_01_954,train
P01_01_2689,train
P02_06_3267,train
P02_05_983,train
P05_05_33,train
P05_02_455,train
P01_01_217,train
P03_03_1377,train
P01_02_1726,train
P03_03_2182,train
P04_05_2442,train
P04_03_793,train
P03_02_348,train
P04_03_605,train
P02_03_544,train
P05_03_1370,train
P05_02_1098,train
P05_02_54,train
P05_03_868,train
P03_01_272,train
P02_02_2638,train
P04_01_2565,train
P03_01_2388,train
P02_03_407,train
P04_01_2600,train
P05_01_743,train
P01_02_2542,train
P04_01_1536,train
P02_03_1153,train
P04_01_1185,train
P01_01_4131,train
P02_02_1374,train
P02_06_1116,train
P05_03_267,train
P03_01_346,train
P03_01_1620,train
P02_03_730,train
P02_02_2891,train
P02_06_1065,train
P03_01_81,train
P01_01_2146,train
P05_05_1079,train
P05_02_93,train
P03_01_605,train
P02_02_2112,train
P04_01_2647,train
P04_03_245,train
P03_01_1021,train
P02_05_474,train
P01_01_1783,train
P02_06_1746,train
P04_01_1093,train
P03_03_898,train
P03_02_832,train
P05_03_660,train
P04_01_2089,train
P03_02_1359,train
P03_03_1095,train
P02_06_2520,train
P02_06_1808,train
P02_06_2717,train
P01_02_1752,train
P03_03_1936,train
P02_02_3147,train
P03_03_1508,train
P02_06_1942,train
P02_06_2308,train
P02_06_467,train
P03_03_1338,train
P03_02_38,train
P05_02_542,train
P03_01_479,train
P05_01_707,train
P02_05_1922,train
P03_02_1663,train
P03_03_354,train
P02_06_2856,train
P01_01_1027,train
P05_02_1183,train
P04_01_626,train
P02_02_1419,train
P02_06_2425,train
P01_02_1763,train
P03_02_28,train
P03_03_1165,train
P03_03_1676,train
P02_07_542,train
P02_05_2096,train
P02_06_1203,train
P03_03_738,train
P04_03_760,train
P01_01_533,train
P01_02_623,train
P04_01_1724,train
P03_02_248,train
P02_05_621,train
P04_05_1096,train
P01_01_3747,train
P03_03_1129,train
P03_01_561,train
P04_01_349,train
P03_03_965,train
P02_06_3754,train
P04_01_1520,train
P01_01_2743,train
P05_02_1520,train
P02_06_354,train
P03_01_1920,train
P05_02_39,train
P01_01_3219,train
P01_02_981,train
P03_03_1934,train
P01_02_3136,train
P03_01_76,train
P05_03_717,train
P03_01_2,train
P02_05_1522,train
P03_02_250,train
P04_05_762,train
P05_05_782,train
P02_03_722,train
P02_05_2179,train
P01_01_2633,train
P01_01_3727,train
P05_02_833,train
P02_02_1151,train
P01_02_1843,train
P01_02_1161,train
P02_03_1477,train
P04_01_1752,train
P04_03_400,train
P02_05_1933,train
P02_06_1074,train
P05_01_1155,train
P01_01_3024,train
P02_06_1381,train
P03_01_243,train
P02_06_3393,train
P02_06_1806,train
P01_01_3937,train
P04_01_1681,train
P02_06_549,train
P05_05_379,train
P03_01_1031,train
P05_03_1365,train
P04_01_1351,train
P02_02_187,train
P01_01_1386,train
P02_02_2844,train
P01_01_893,train
P05_02_900,train
P04_03_911,train
P05_05_947,train
P02_02_1356,train
P02_02_406,train
P01_01_1728,train
P02_06_1824,train
P04_05_885,train
P02_06_1051,train
P04_01_1229,train
P02_06_639,train
P02_06_1388,train
P05_02_1587,train
P04_01_934,train
P03_02_16,train
P01_01_1908,train
P05_03_49,train
P03_03_2139,train
P04_01_1336,train
P02_05_364,train
P02_06_1666,train
P01_01_192,train
P03_02_1229,train
P04_03_827,train
P02_02_726,train
P05_02_1231,train
P03_02_787,train
P04_01_908,train
P02_06_2743,train
P01_02_2783,train
P01_02_1586,train
P01_01_731,train
P02_06_1097,train
P01_02_2535,train
P01_02_2732,train
P02_07_532,train
P02_05_772,train
P02_05_652,train
P05_03_906,train
P02_03_1192,train
P03_03_144,train
P05_02_11,train
P03_01_2169,train
P01_01_2649,train
P01_01_1564,train
P04_05_1639,train
P04_01_2033,train
P03_03_346,train
P01_02_3052,train
P05_02_666,train
P02_03_643,train
P05_03_88,train
P05_03_1352,train
P02_05_909,train
P05_05_1113,train
P02_07_283,train
P02_02_2707,train
P05_05_812,train
P04_05_696,train
P02_05_2277,train
P05_02_460,train
P02_03_2136,train
P01_01_417,train
P05_02_1129,train
P02_07_453,train
P02_02_2573,train
P05_05_342,train
P01_02_1845,train
P02_03_1719,train
P02_06_3022,train
P04_05_1492,train
P01_01_4075,train
P05_05_160,train
P03_02_869,train
P01_02_328,train
P02_02_189,train
P05_01_614,train
P02_06_2595,train
P03_01_1311,train
P04_05_1585,train
P05_03_734,train
P01_01_2159,train
P03_03_1148,train
P01_01_3417,train
P04_01_2646,train
P02_06_1078,train
P05_02_45,train
P02_02_1163,train
P04_01_1571,train
P04_05_2384,train
P05_02_1128,train
P03_01_2549,train
P03_01_684,train
P03_02_185,train
P03_03_1069,train
P05_02_889,train
P02_05_838,train
P04_01_1372,train
P01_02_1025,train
P02_03_712,train
P01_01_3440,train
P02_06_2531,train
P03_01_1667,train
P05_03_999,train
P03_03_2337,train
P02_03_2803,train
P02_03_2345,train
P05_05_158,train
P05_05_143,train
P02_03_944,train
P05_01_1065,train
P02_02_1285,train
P01_02_420,train
P01_01_425,train
P01_02_781,train
P04_01_954,train
P04_05_748,train
P03_03_1553,train
P02_03_2442,train
P05_05_298,train
P04_05_1343,train
P01_02_1350,train
P05_03_1132,train
P04_01_476,train
P05_02_78,train
P04_01_2356,train
P02_03_2278,train
P01_01_4122,train
P01_01_2141,train
P03_01_976,train
P04_05_2200,train
P04_05_837,train
P05_01_691,train
P05_01_939,train
P02_02_1820,train
P01_01_345,train
P02_05_1442,train
P03_03_1131,train
P01_02_565,train
P01_01_2008,train
P01_01_362,train
P04_01_945,train
P04_05_2301,train
P02_03_1058,train
P04_01_1260,train
P02_06_2473,train
P02_03_417,train
P02_06_2576,train
P02_02_2423,train
P03_01_1787,train
P04_01_2130,train
P01_01_737,train
P02_06_2338,train
P02_06_2693,train
P02_02_1826,train
P03_02_1455,train
P03_02_308,train
P05_03_74,train
P04_01_379,train
P03_03_2316,train
P05_05_1114,train
P04_05_1997,train
P04_01_323,train
P03_02_1407,train
P04_05_1135,train
P01_02_470,train
P01_02_2059,train
P04_01_1070,train
P04_01_33,train
P03_03_927,train
P02_03_2340,train
P04_05_1848,train
P01_01_2991,train
P04_03_626,train
P02_02_591,train
P03_03_654,train
P04_05_389,train
P01_02_1750,train
P01_01_3906,train
P05_01_90,train
P04_05_970,train
P03_02_98,train
P01_02_476,train
P04_01_2128,train
P02_05_2309,train
P02_07_449,train
P02_02_2852,train
P05_02_438,train
P03_03_1316,train
P05_02_197,train
P05_01_995,train
P05_02_765,train
P03_01_1182,train
P03_01_1534,train
P02_03_1004,train
P01_02_1739,train
P01_01_1088,train
P01_02_2866,train
P01_02_2795,train
P03_01_2107,train
P01_02_2120,train
P02_03_1476,train
P04_01_2137,train
P02_05_1325,train
